2026-04-17T00:13:03Z | +978 new | 978 total | sources: {"capitol_trades": {"status": "ok", "records": 1116}, "senate_github": {"status": "ok", "records": 0}}
2026-04-17T00:16:04Z | +0 new | 978 total | sources: {"capitol_trades": {"status": "ok", "records": 1116}, "senate_github": {"status": "ok", "records": 0}}
2026-04-17T10:46:34Z | +0 new | 978 total | sources: {"capitol_trades": {"status": "ok", "records": 1116}, "senate_github": {"status": "ok", "records": 0}}
2026-04-17T14:46:54Z | +5 new | 983 total | sources: {"capitol_trades": {"status": "ok", "records": 1121}, "senate_github": {"status": "ok", "records": 0}}
2026-04-17T19:04:44Z | +0 new | 983 total | sources: {"capitol_trades": {"status": "ok", "records": 1121}, "senate_github": {"status": "ok", "records": 0}}
2026-04-17T22:51:12Z | +0 new | 983 total | sources: {"capitol_trades": {"status": "ok", "records": 1121}, "senate_github": {"status": "ok", "records": 0}}
2026-04-18T10:45:02Z | +0 new | 983 total | sources: {"capitol_trades": {"status": "ok", "records": 1116}, "senate_github": {"status": "ok", "records": 0}}
2026-04-20T11:11:44Z | +0 new | 983 total | sources: {"capitol_trades": {"status": "ok", "records": 1116}, "senate_github": {"status": "ok", "records": 0}}
2026-04-20T15:08:21Z | +1 new | 984 total | sources: {"capitol_trades": {"status": "ok", "records": 1117}, "senate_github": {"status": "ok", "records": 0}}
2026-04-20T19:09:44Z | +0 new | 984 total | sources: {"capitol_trades": {"status": "ok", "records": 1117}, "senate_github": {"status": "ok", "records": 0}}
2026-04-20T22:53:48Z | +0 new | 984 total | sources: {"capitol_trades": {"status": "ok", "records": 1117}, "senate_github": {"status": "ok", "records": 0}}
2026-04-21T10:58:51Z | +1 new | 985 total | sources: {"capitol_trades": {"status": "ok", "records": 1118}, "senate_github": {"status": "ok", "records": 0}}
2026-04-21T15:03:48Z | +5 new | 990 total | sources: {"capitol_trades": {"status": "ok", "records": 1123}, "senate_github": {"status": "ok", "records": 0}}
2026-04-21T19:16:49Z | +0 new | 990 total | sources: {"capitol_trades": {"status": "ok", "records": 1123}, "senate_github": {"status": "ok", "records": 0}}
2026-04-21T22:44:30Z | +0 new | 990 total | sources: {"capitol_trades": {"status": "ok", "records": 1123}, "senate_github": {"status": "ok", "records": 0}}
2026-04-22T10:57:26Z | +0 new | 990 total | sources: {"capitol_trades": {"status": "ok", "records": 1100}, "senate_github": {"status": "ok", "records": 0}}
2026-04-22T15:04:13Z | +21 new | 1011 total | sources: {"capitol_trades": {"status": "ok", "records": 1125}, "senate_github": {"status": "ok", "records": 0}}
2026-04-22T19:17:58Z | +0 new | 1011 total | sources: {"capitol_trades": {"status": "ok", "records": 1125}, "senate_github": {"status": "ok", "records": 0}}
2026-04-22T22:54:36Z | +0 new | 1011 total | sources: {"capitol_trades": {"status": "ok", "records": 1125}, "senate_github": {"status": "ok", "records": 0}}
2026-04-23T11:00:58Z | +0 new | 1011 total | sources: {"capitol_trades": {"status": "ok", "records": 1116}, "senate_github": {"status": "ok", "records": 0}}
2026-04-23T15:30:13Z | +0 new | 1011 total | sources: {"capitol_trades": {"status": "ok", "records": 1116}, "senate_github": {"status": "ok", "records": 0}}
2026-04-23T19:14:25Z | +0 new | 1011 total | sources: {"capitol_trades": {"status": "ok", "records": 1116}, "senate_github": {"status": "ok", "records": 0}}
2026-04-23T22:55:38Z | +0 new | 1011 total | sources: {"capitol_trades": {"status": "ok", "records": 1116}, "senate_github": {"status": "ok", "records": 0}}
2026-04-24T10:58:42Z | +0 new | 1011 total | sources: {"capitol_trades": {"status": "ok", "records": 1107}, "senate_github": {"status": "ok", "records": 0}}
2026-04-24T15:00:56Z | +0 new | 1011 total | sources: {"capitol_trades": {"status": "ok", "records": 1108}, "senate_github": {"status": "ok", "records": 0}}
2026-04-24T18:56:42Z | +1 new | 1012 total | sources: {"capitol_trades": {"status": "ok", "records": 1108}, "senate_github": {"status": "ok", "records": 0}}
2026-04-24T22:47:55Z | +0 new | 1012 total | sources: {"capitol_trades": {"status": "ok", "records": 1108}, "senate_github": {"status": "ok", "records": 0}}
2026-04-25T10:48:41Z | +0 new | 1012 total | sources: {"capitol_trades": {"status": "ok", "records": 1097}, "senate_github": {"status": "ok", "records": 0}}
2026-04-27T11:30:44Z | +0 new | 1012 total | sources: {"capitol_trades": {"status": "ok", "records": 1096}, "senate_github": {"status": "ok", "records": 0}}
